cc,centro_trabajo,fecha_inicio,fecha_termino,edad,sexo,nivel
8832,Oficinas Centrales,06/02/2024,06/02/2025,22,M,superior
8832,Oficinas Centrales,06/02/2024,06/02/2025,24,H,superior
8832,Oficinas Centrales,06/02/2024,06/02/2025,25,M,superior
8832,Oficinas Centrales,06/11/2023,06/11/2024,22,M,superior
8832,Oficinas Centrales,06/11/2023,06/11/2024,23,H,superior
8832,Oficinas Centrales,06/11/2023,06/11/2024,30,M,superior
8832,Oficinas Centrales,06/11/2023,06/11/2024,24,M,superior
8832,Oficinas Centrales,06/11/2023,06/10/2024,22,M,superior
8832,Oficinas Centrales,02/05/2022,02/01/2023,27,H,superior
8832,Oficinas Centrales,02/01/2023,02/01/2024,24,H,superior
8832,Oficinas Centrales,04/07/2022,05/07/2023,25,M,media superior
8832,Oficinas Centrales,02/01/2023,02/01/2024,26,M,media superior
8832,Oficinas Centrales,18/04/2022,18/04/2023,25,M,superior
8832,Oficinas Centrales,02/01/2023,02/01/2024,27,M,superior
8832,Oficinas Centrales,02/01/2023,02/01/2024,23,H,superior
8832,Oficinas Centrales,02/01/2023,02/01/2024,29,H,superior
8832,Oficinas Centrales,02/05/2022,02/05/2023,26,H,media superior
8832,Oficinas Centrales,18/04/2022,18/04/2023,25,H,superior
8832,Oficinas Centrales,18/04/2022,18/04/2023,25,M,superior
8832,Oficinas Centrales,19/07/2021,19/07/2022,24,M,superior
8832,Oficinas Centrales,02/05/2022,02/05/2023,23,M,superior
8832,Oficinas Centrales,21/06/2021,21/06/2022,23,M,superior
8832,Oficinas Centrales,18/04/2022,18/11/2022,30,H,media superior
8832,Oficinas Centrales,06/02/2024,14/02/2024,26,H,superior
8832,Oficinas Centrales,06/11/2023,29/07/2024,28,H,superior
8832,Oficinas Centrales,06/11/2023,01/03/2024,26,M,superior
8832,Oficinas Centrales,02/05/2022,02/09/2022,26,M,superior
8832,Oficinas Centrales,03/01/2022,20/10/2022,22,M,superior
8832,Oficinas Centrales,02/01/2023,16/05/2023,25,M,superior
8832,Oficinas Centrales,18/04/2022,10/06/2022,22,M,superior
8832,Oficinas Centrales,21/06/2021,21/06/2021,29,M,superior
8832,Oficinas Centrales,03/03/2025,,28,M,superior
8832,Oficinas Centrales,03/03/2025,,24,H,superior
8832,Oficinas Centrales,03/03/2025,,25,M,superior
8832,Oficinas Centrales,03/03/2025,,25,H,superior
8832,Oficinas Centrales,03/03/2025,24/03/2025,28,H,superior
8832,Oficinas Centrales,03/03/2025,,29,H,superior
8832,Oficinas Centrales,03/03/2025,,19,M,superior
8832,Oficinas Centrales,03/03/2025,,25,H,superior
8832,Oficinas Centrales,03/03/2025,,24,M,superior
8832,Oficinas Centrales,03/03/2025,,23,H,superior
8832,Oficinas Centrales,03/03/2025,,29,H,superior
9552,Centro de Día Guadalupe,16/08/2021,16/08/2022,24,M,superior
9552,Centro de Día Guadalupe,04/07/2022,04/07/2023,23,M,media superior
9552,Centro de Día Guadalupe,20/09/2021,20/04/2022,19,M,media superior
9552,Centro de Día Guadalupe,20/09/2021,21/03/2022,24,M,superior
9552,Centro de Día Guadalupe,17/01/2022,13/06/2022,21,M,superior
9552,Centro de Día Guadalupe,01/11/2021,12/03/2022,23,H,superior
9552,Centro de Día Guadalupe,08/02/2022,15/06/2022,23,H,media superior
9552,Centro de Día Guadalupe,20/09/2021,13/03/2022,23,M,superior
9552,Centro de Día Guadalupe,04/07/2022,15/10/2022,23,M,superior
9552,Centro de Día Guadalupe,04/07/2022,07/07/2022,27,H,superior
9552,Centro de Día Guadalupe,04/07/2022,26/09/2022,25,H,media superior
9552,Centro de Día Guadalupe,02/05/2022,19/10/2022,22,M,superior
9552,Centro de Día Guadalupe,19/07/2021,27/04/2022,29,M,superior
9552,Centro de Día Guadalupe,16/08/2021,16/08/2021,25,H,superior
9210,Cij Acapulco,16/11/2023,16/11/2024,23,M,superior
9210,Cij Acapulco,06/11/2023,06/11/2024,22,M,superior
9210,Cij Acapulco,06/11/2023,06/11/2024,22,H,superior
9210,Cij Acapulco,06/11/2023,06/11/2024,21,M,superior
9210,Cij Acapulco,06/11/2023,06/10/2024,22,H,superior
9210,Cij Acapulco,18/04/2022,18/04/2023,30,H,superior
9210,Cij Acapulco,21/06/2021,21/06/2022,24,H,superior
9210,Cij Acapulco,21/06/2021,21/06/2022,24,M,media superior
9210,Cij Acapulco,02/05/2022,02/05/2023,25,M,media superior
9210,Cij Acapulco,18/04/2022,18/04/2023,29,H,superior
9210,Cij Acapulco,18/04/2022,18/04/2023,25,M,superior
9210,Cij Acapulco,21/06/2021,21/06/2022,28,M,superior
9210,Cij Acapulco,21/06/2021,21/04/2022,26,H,superior
9210,Cij Acapulco,16/11/2023,30/07/2024,27,M,superior
9210,Cij Acapulco,06/11/2023,30/07/2024,21,H,superior
9210,Cij Acapulco,06/11/2023,19/08/2024,19,M,media superior
9210,Cij Acapulco,06/11/2023,26/01/2024,25,M,superior
9210,Cij Acapulco,06/11/2023,08/01/2024,18,M,media superior
9210,Cij Acapulco,08/02/2022,09/02/2022,24,M,superior
9210,Cij Acapulco,21/06/2021,04/03/2022,24,M,superior
9210,Cij Acapulco,02/05/2023,08/05/2023,27,M,superior
